transaction_id,sender_id,receiver_id,amount,timestamp
TXN_001,ACC_001,ACC_002,5000,2024-01-15 10:00:00
TXN_002,ACC_002,ACC_003,4800,2024-01-15 11:00:00
TXN_003,ACC_003,ACC_001,4600,2024-01-15 12:00:00
TXN_004,ACC_010,ACC_011,3000,2024-01-16 09:00:00
TXN_005,ACC_011,ACC_012,2900,2024-01-16 10:00:00
TXN_006,ACC_012,ACC_013,2800,2024-01-16 11:00:00
TXN_007,ACC_013,ACC_010,2700,2024-01-16 12:00:00
TXN_008,ACC_020,ACC_021,8000,2024-01-17 08:00:00
TXN_009,ACC_021,ACC_022,7800,2024-01-17 09:00:00
TXN_010,ACC_022,ACC_023,7600,2024-01-17 10:00:00
TXN_011,ACC_023,ACC_024,7400,2024-01-17 11:00:00
TXN_012,ACC_024,ACC_020,7200,2024-01-17 12:00:00
TXN_013,ACC_100,ACC_200,1500,2024-01-18 10:00:00
TXN_014,ACC_101,ACC_200,1200,2024-01-18 10:30:00
TXN_015,ACC_102,ACC_200,1800,2024-01-18 11:00:00
TXN_016,ACC_103,ACC_200,900,2024-01-18 11:30:00
TXN_017,ACC_104,ACC_200,1100,2024-01-18 12:00:00
TXN_018,ACC_105,ACC_200,1300,2024-01-18 12:30:00
TXN_019,ACC_106,ACC_200,1600,2024-01-18 13:00:00
TXN_020,ACC_107,ACC_200,1400,2024-01-18 13:30:00
TXN_021,ACC_108,ACC_200,1000,2024-01-18 14:00:00
TXN_022,ACC_109,ACC_200,1700,2024-01-18 14:30:00
TXN_023,ACC_110,ACC_200,950,2024-01-18 15:00:00
TXN_024,ACC_111,ACC_200,1250,2024-01-18 15:30:00
TXN_025,ACC_112,ACC_200,1450,2024-01-18 16:00:00
TXN_026,ACC_113,ACC_200,1050,2024-01-18 16:30:00
TXN_027,ACC_114,ACC_200,1350,2024-01-18 17:00:00
TXN_028,ACC_300,ACC_400,800,2024-01-19 09:00:00
TXN_029,ACC_300,ACC_401,850,2024-01-19 09:15:00
TXN_030,ACC_300,ACC_402,900,2024-01-19 09:30:00
TXN_031,ACC_300,ACC_403,750,2024-01-19 09:45:00
TXN_032,ACC_300,ACC_404,950,2024-01-19 10:00:00
TXN_033,ACC_300,ACC_405,700,2024-01-19 10:15:00
TXN_034,ACC_300,ACC_406,1000,2024-01-19 10:30:00
TXN_035,ACC_300,ACC_407,650,2024-01-19 10:45:00
TXN_036,ACC_300,ACC_408,1100,2024-01-19 11:00:00
TXN_037,ACC_300,ACC_409,600,2024-01-19 11:15:00
TXN_038,ACC_300,ACC_410,1050,2024-01-19 11:30:00
TXN_039,ACC_300,ACC_411,750,2024-01-19 11:45:00
TXN_040,ACC_300,ACC_412,900,2024-01-19 12:00:00
TXN_041,ACC_300,ACC_413,850,2024-01-19 12:15:00
TXN_042,ACC_300,ACC_414,950,2024-01-19 12:30:00
TXN_043,ACC_500,ACC_501,10000,2024-01-20 08:00:00
TXN_044,ACC_501,ACC_502,9500,2024-01-20 09:00:00
TXN_045,ACC_502,ACC_503,9000,2024-01-20 10:00:00
TXN_046,ACC_600,ACC_601,5000,2024-01-21 08:00:00
TXN_047,ACC_601,ACC_602,4500,2024-01-21 09:00:00
TXN_048,ACC_602,ACC_603,4000,2024-01-21 10:00:00
TXN_049,ACC_603,ACC_604,3500,2024-01-21 11:00:00
TXN_050,ACC_700,ACC_701,3000,2024-01-22 08:00:00
TXN_051,ACC_701,ACC_702,2800,2024-01-22 09:00:00
TXN_052,ACC_702,ACC_703,2600,2024-01-22 10:00:00
TXN_053,ACC_703,ACC_704,2400,2024-01-22 11:00:00
TXN_054,ACC_704,ACC_705,2200,2024-01-22 12:00:00
TXN_055,ACC_030,ACC_031,6000,2024-01-15 14:00:00
TXN_056,ACC_031,ACC_032,5800,2024-01-15 15:00:00
TXN_057,ACC_032,ACC_030,5600,2024-01-15 16:00:00
TXN_058,ACC_040,ACC_041,4500,2024-01-16 14:00:00
TXN_059,ACC_041,ACC_042,4300,2024-01-16 15:00:00
TXN_060,ACC_042,ACC_043,4100,2024-01-16 16:00:00
TXN_061,ACC_043,ACC_040,3900,2024-01-16 17:00:00
TXN_062,ACC_115,ACC_200,1150,2024-01-18 17:30:00
TXN_063,ACC_116,ACC_200,1550,2024-01-18 18:00:00
TXN_064,ACC_117,ACC_200,850,2024-01-18 18:30:00
TXN_065,ACC_050,ACC_051,2500,2024-01-17 14:00:00
TXN_066,ACC_051,ACC_052,2400,2024-01-17 15:00:00
TXN_067,ACC_052,ACC_053,2300,2024-01-17 16:00:00
TXN_068,ACC_053,ACC_050,2200,2024-01-17 17:00:00
TXN_069,ACC_200,ACC_800,15000,2024-01-19 18:00:00
TXN_070,ACC_300,ACC_415,800,2024-01-19 12:45:00
TXN_071,ACC_300,ACC_416,900,2024-01-19 13:00:00
TXN_072,ACC_800,ACC_801,2000,2024-01-23 08:00:00
TXN_073,ACC_801,ACC_802,1800,2024-01-23 09:00:00
TXN_074,ACC_802,ACC_803,1600,2024-01-23 10:00:00
TXN_075,ACC_060,ACC_061,3500,2024-01-18 14:00:00
TXN_076,ACC_061,ACC_062,3300,2024-01-18 15:00:00
TXN_077,ACC_062,ACC_060,3100,2024-01-18 16:00:00
TXN_078,ACC_900,ACC_901,7000,2024-01-24 08:00:00
TXN_079,ACC_901,ACC_902,6500,2024-01-24 09:00:00
TXN_080,ACC_902,ACC_903,6000,2024-01-24 10:00:00
TXN_081,ACC_903,ACC_904,5500,2024-01-24 11:00:00
TXN_082,ACC_904,ACC_905,5000,2024-01-24 12:00:00
TXN_083,ACC_118,ACC_200,1650,2024-01-18 19:00:00
TXN_084,ACC_119,ACC_200,750,2024-01-18 19:30:00
TXN_085,ACC_300,ACC_417,1050,2024-01-19 13:15:00
TXN_086,ACC_300,ACC_418,700,2024-01-19 13:30:00
TXN_087,NORM_001,NORM_002,2000,2024-01-25 10:00:00
TXN_088,NORM_003,NORM_004,1500,2024-01-25 11:00:00
TXN_089,NORM_005,NORM_006,3000,2024-01-25 12:00:00
TXN_090,NORM_007,NORM_008,2500,2024-01-25 13:00:00
